date,return
2014-09-18,-0.07464335114672602
2014-09-19,-0.07240150831326696
2014-09-20,0.03511123892658404
2014-09-21,-0.024967658585812118
2014-09-22,0.008317415866919345
2014-09-23,0.08033258980587003
2014-09-24,-0.029306072969367557
2014-09-25,-0.02786781718041148
2014-09-26,-0.01752257127991072
2014-09-27,-0.012202476001292178
2014-09-28,-0.057538621325004674
2014-09-29,-0.00455456521390965
2014-09-30,0.030109367852644064
2014-10-01,-0.008640560328120626
2014-10-02,-0.022521436543670316
2014-10-03,-0.042370445497764316
2014-10-04,-0.08909717318177506
2014-10-05,-0.025736857181158944
2014-10-06,0.029418542471142478
2014-10-07,0.01833553755277795
2014-10-08,0.04863049009982941
2014-10-09,0.03367050887855971
2014-10-10,-0.009535019691829542
2014-10-11,0.0020363018350182207
2014-10-12,0.04387568380258101
2014-10-13,0.030862165738544473
2014-10-14,0.026429454754760214
2014-10-15,-0.015326230918851878
2014-10-16,-0.031435894975435606
2014-10-17,0.0031370869983596587
2014-10-18,0.019825186596714516
2014-10-19,-0.004855387977543208
2014-10-20,-0.017351722053950566
2014-10-21,0.009436987950712907
2014-10-22,-0.008619789320394202
2014-10-23,-0.06675031812437174
2014-10-24,-0.00020087831359355885
2014-10-25,-0.03139076919905094
2014-10-26,0.021178223363637567
2014-10-27,-0.004846733371211739
2014-10-28,0.013028475975267014
2014-10-29,-0.0635722428919851
2014-10-30,0.028534896470256706
2014-10-31,-0.020432871750136677
2014-11-01,-0.03786806707761741
2014-11-02,0.0004389084610229568
2014-11-03,0.005086850129246482
2014-11-04,0.008929583515985332
2014-11-05,0.0268502202035217
2014-11-06,0.02846986042997209
2014-11-07,-0.019879070506894324
2014-11-08,0.008934452747206795
2014-11-09,0.050171934089362664
2014-11-10,0.010024909250441996
2014-11-11,0.002099037333945137
2014-11-12,0.14144374237411003
2014-11-13,-0.006694405463290997
2014-11-14,-0.05600854992035417
2014-11-15,-0.0560518044937869
2014-11-16,0.03075834750871786
2014-11-17,-0.0012227659391728994
2014-11-18,-0.03202449271671516
2014-11-19,0.01417681283975975
2014-11-20,-0.06154474537340354
2014-11-21,-0.019732890629203508
2014-11-22,0.005888382140498857
2014-11-23,0.04068049266954753
2014-11-24,0.025060623015988357
2014-11-25,-0.0041289819221768465
2014-11-26,-0.018765719578231314
2014-11-27,0.003522897510872974
2014-11-28,0.018166490987267664
2014-11-29,-0.002542747380733433
2014-11-30,0.006784023053773047
2014-12-01,0.003163902594277643
2014-12-02,0.005443390233294481
2014-12-03,-0.01667309325756673
2014-12-04,-0.01452054553548799
2014-12-05,0.01942568211261281
2014-12-06,-0.005505316927017997
2014-12-07,0.0008267924885095913
2014-12-08,-0.03578654091392482
2014-12-09,-0.027139664967957448
2014-12-10,-0.016760020475639077
2014-12-11,0.011884754737244636
2014-12-12,0.00579188308492736
2014-12-13,-0.014761954764178752
2014-12-14,0.012177354391270193
2014-12-15,-0.018041220667382868
2014-12-16,-0.05439412969149429
2014-12-17,-0.02252903746162401
2014-12-18,-0.026555352198143138
2014-12-19,0.020492107915294763
2014-12-20,0.037401783531347356
2014-12-21,-0.028007426413712226
2014-12-22,0.0338396286886821
2014-12-23,0.008060580785621321
2014-12-24,-0.03664352962119888
2014-12-25,-0.010992379353032234
2014-12-26,0.0275657413856391
2014-12-27,-0.037473312325435715
2014-12-28,0.004346879973985704
2014-12-29,-0.014507111898342107
2014-12-30,-0.006201470547806336
2014-12-31,0.02997702395794723
2015-01-01,-0.018738274869275484
2015-01-02,0.002488619287175847
2015-01-03,-0.1140278177349996
2015-01-04,-0.061958949748596136
2015-01-05,0.0381690406654541
2015-01-06,0.04179588028495178
2015-01-07,0.028072972973577883
2015-01-08,-0.038046038536555644
2015-01-09,0.024607444677929097
2015-01-10,-0.05525782685005865
2015-01-11,-0.0338116582931091
2015-01-12,0.008008149765165352
2015-01-13,-0.170305726955524
2015-01-14,-0.23755771546654758
2015-01-15,0.16400235276955677
2015-01-16,-0.00836005186777019
2015-01-17,-0.043393840661477875
2015-01-18,0.05411005929745943
2015-01-19,0.02127073582668583
2015-01-20,-0.016641349424764706
2015-01-21,0.07114626122177645
2015-01-22,0.028283267583453762
2015-01-23,-0.0022604556452212243
2015-01-24,0.0622926248581214
2015-01-25,0.023411802391014935
2015-01-26,0.07497944405032343
2015-01-27,-0.037244357251515224
2015-01-28,-0.11900073715376845
2015-01-29,-0.0017200206425642907
2015-01-30,-0.03082397444451304
2015-01-31,-0.040380437358337594
2015-02-01,0.04279332201157023
2015-02-02,0.048405749970564925
2015-02-03,-0.047102450884963856
2015-02-04,-0.0018277448236161636
2015-02-05,-0.04389350801778059
2015-02-06,0.0234661832844831
2015-02-07,0.024391197530570306
2015-02-08,-0.019248477483748288
2015-02-09,-0.014890187794643994
2015-02-10,-0.0012319433439508833
2015-02-11,-0.0029793698781100013
2015-02-12,0.011697676548995173
2015-02-13,0.05978710742507972
2015-02-14,0.08892349379083077
2015-02-15,-0.09148384581601549
2015-02-16,-0.004190582965319899
2015-02-17,0.04091862847343536
2015-02-18,-0.030356363584176295
2015-02-19,0.016605190331530455
2015-02-20,0.01444469056283931
2015-02-21,0.00309223885550386
2015-02-22,-0.03561998072830237
2015-02-23,0.012277195960761064
2015-02-24,-0.0006574070813245656
2015-02-25,-0.005312847872928256
2015-02-26,-0.004406063978549473
2015-02-27,0.0710216429617866
2015-02-28,0.0017122824980297076
2015-03-01,0.023089070169329436
2015-03-02,0.05774631040377361
2015-03-03,0.021645212978180898
2015-03-04,-0.031040986676727444
