date,return
2026-02-23,-0.027804762283887324
2026-02-22,-0.031199193231912746
2026-02-21,-0.016566257179955284
2026-02-20,0.018477137579270653
2026-02-19,-0.002266226586382887
2026-02-18,-0.02127184212536046
2026-02-17,-0.0034819218465127937
2026-02-16,-0.016451050891574916
2026-02-15,-0.07965823194417042
2026-02-14,0.14065917752039211
2026-02-13,0.03791118186436384
2026-02-12,0.02108338345086634
2026-02-11,-0.017959861890191414
2026-02-10,-0.035209232518434996
2026-02-09,-0.007439375664114251
2026-02-08,-0.015783728946897325
2026-02-07,-0.0021548446584531474
2026-02-06,0.10936332217191276
2026-02-05,-0.16156645646656542
2026-02-04,-0.0179458813743296
2026-02-03,-0.020777291847782837
2026-02-02,0.03317804126379143
2026-02-01,0.002350763641132941
2026-01-31,-0.10533842106125117
2026-01-30,-0.012338940369457905
2026-01-29,-0.06427748996688554
2026-01-28,-0.009064048057158075
2026-01-27,0.029884226188475093
2026-01-26,0.024844095854060444
2026-01-25,-0.0394225127811203
2026-01-24,-0.004422259982905619
2026-01-23,0.003528190983384166
2026-01-22,-0.018134664281508714
2026-01-21,0.025731458455544816
2026-01-20,-0.045978914929933445
2026-01-19,-0.019883597313998736
2026-01-18,-0.04553012762544495
2026-01-17,-0.0019358281392640527
2026-01-16,-0.013925433800381845
2026-01-15,-0.0503418078343213
2026-01-14,-0.005905515642506747
2026-01-13,0.08123634774138845
2026-01-12,-0.008728530325827847
2026-01-11,-0.012524963523917697
2026-01-10,-0.0071940240469267535
2026-01-09,-0.010726715826917414
2026-01-08,-0.029559827848032377
2026-01-07,-0.029494807692477462
2026-01-06,-0.007836019621029146
2026-01-05,0.016671214376507343
2026-01-04,0.042761144064430504
2026-01-03,0.009728557294943051
2026-01-02,0.11185736346894293
2026-01-01,0.07698061821440155
2025-12-31,-0.049742140566089534
2025-12-30,0.004438923412709896
2025-12-29,-0.00888245786488453
2025-12-28,-0.003217109072243673
2025-12-27,0.017958791113073386
2025-12-26,-0.012477865736668679
2025-12-25,-0.03946351017616384
2025-12-24,-0.005253918562942418
2025-12-23,-0.024761517209887098
2025-12-22,0.010444511112493055
2025-12-21,-0.006798323084359089
2025-12-20,-0.0019835262358887224
2025-12-19,0.0800155298801416
2025-12-18,-0.03326361577957936
2025-12-17,-0.043160450986220754
2025-12-16,0.015359499113912236
2025-12-15,-0.033592222653590645
2025-12-14,-0.03660445843993966
2025-12-13,0.01605887144474979
2025-12-12,-0.024772931236388476
2025-12-11,-0.02205810404888244
2025-12-10,-0.03102261348663639
2025-12-09,0.03742574718643637
2025-12-08,0.028617583744197185
2025-12-07,-0.008386109746563106
2025-12-06,0.0007946309142965854
2025-12-05,-0.05483812413513547
2025-12-04,-0.029663517353844104
2025-12-03,0.0400972094158098
2025-12-02,0.07379387272617892
2025-12-01,-0.07855739744061166
2025-11-30,-0.012871149584101097
2025-11-29,-0.011450723913109006
2025-11-28,-0.01590295225083732
2025-11-27,-0.01358865923612963
2025-11-26,0.011736934083986716
2025-11-25,0.007730559620079116
2025-11-24,0.046956793052913996
2025-11-23,0.031756048398755385
2025-11-22,0.0008699186960755301
2025-11-21,-0.061621986725350304
2025-11-20,-0.0344971384153676
2025-11-19,-0.046706799963054456
2025-11-18,0.06259769562141558
2025-11-17,-0.04359997978908162
2025-11-16,-0.027820550977345093
2025-11-15,0.035380840149601155
2025-11-14,-0.042460180597685374
2025-11-13,-0.034605115124638264
2025-11-12,-0.011365020926113314
2025-11-11,-0.055344371390664115
2025-11-10,0.01414692054999218
2025-11-09,0.017319714285662948
2025-11-08,-0.01403976789207669
2025-11-07,0.10163438966955408
2025-11-06,-0.03634380648294543
2025-11-05,0.028389392539044354
2025-11-04,-0.027570500809773343
2025-11-03,-0.1093747387904677
2025-11-02,-0.003787579356644596
2025-11-01,0.004538237558249937
2025-10-31,0.020171674053497516
2025-10-30,-0.05162425869601207
2025-10-29,-0.0070802867619503265
2025-10-28,-0.03362069829957831
2025-10-27,-0.026047447648713206
2025-10-26,0.045147514126065755
2025-10-25,-0.005615185352212546
2025-10-24,0.014541426717648664
2025-10-23,0.025164641280018493
2025-10-22,-0.022826760273395284
2025-10-21,-0.02902589809649783
2025-10-20,0.02423255447679142
2025-10-19,0.02974328139464799
2025-10-18,0.02540990807572211
2025-10-17,-0.018890674263987172
2025-10-16,-0.04138950192209142
2025-10-15,-0.04094280606020627
2025-10-14,-0.04520951560383906
2025-10-13,0.02938198940910586
2025-10-12,0.11380441145358378
2025-10-11,-0.040745469965734644
2025-10-10,-0.2522033475978935
2025-10-09,-0.027772540698583644
2025-10-08,0.03280204428126699
2025-10-07,-0.0740054000211547
2025-10-06,0.05146457765446193
2025-10-05,0.008085526246312376
2025-10-04,-0.03017193856651309
2025-10-03,-0.01280987278619399
2025-10-02,0.053204540293646144
2025-10-01,0.06426879325915733
2025-09-30,-0.009197392823135855
2025-09-29,-0.009867895374626968
2025-09-28,0.02798843162577914
2025-09-27,-0.0077374081977763095
2025-09-26,0.043592393896072335
2025-09-25,-0.07995635346856843
2025-09-24,0.0161129361444931
2025-09-23,-0.01641138607421085
2025-09-22,-0.07902209786758352
2025-09-21,-0.024920594601230903
2025-09-20,0.008860873811285197
2025-09-19,-0.049230215206666095
2025-09-18,-0.013131755600410607
2025-09-17,0.04597762080026333
2025-09-16,0.00423851993959446
2025-09-15,-0.036406162954014304
2025-09-14,-0.038289805897072565
2025-09-13,0.04970468552482265
2025-09-12,0.0744856376047276
2025-09-11,0.040971456648386695
2025-09-10,0.019359400284659416
