date,actual_return,normal_var,normal_cvar,normal_breach,student_t_var,student_t_cvar,student_t_breach,historical_var,historical_cvar,historical_breach
2015-05-28,0.0005266583962297,-0.06751213325984089,-0.08400146565195434,False,-0.057489089383251285,-0.09536970718987313,False,-0.06173113734224017,-0.10394651477251404,False
2015-05-29,-0.0013151070019029,-0.06678042879578891,-0.0831596573656042,False,-0.056705992449183305,-0.0944179937522346,False,-0.0593413771467841,-0.1029389297130277,False
2015-05-30,-0.0159470427014376,-0.06608469828463967,-0.08235884519593228,False,-0.0559609745069184,-0.09353634638767001,False,-0.05672087206783486,-0.1017956307139306,False
2015-05-31,-0.0136129848960239,-0.0661866562464714,-0.08243523291322881,False,-0.0560529805231506,-0.09395456031261476,False,-0.05672087206783486,-0.1017956307139306,False
2015-06-01,-0.0320652106452471,-0.06610889296495151,-0.08234916122891107,False,-0.055930134241266555,-0.09414456856342424,False,-0.05672087206783486,-0.1017956307139306,False
2015-06-02,0.0128230553183931,-0.06633456172652498,-0.08259144937166411,False,-0.0563090018995565,-0.09399501382859617,False,-0.05672087206783486,-0.1017956307139306,False
2015-06-03,0.0003143801994654,-0.06604220648358748,-0.08215676797006817,False,-0.05565408467587315,-0.09257367031733361,False,-0.05672087206783486,-0.1017956307139306,False
2015-06-04,-0.0068858321052393,-0.06586451070495636,-0.08196379057295454,False,-0.05534781229741594,-0.09286572873921643,False,-0.05672087206783486,-0.1017956307139306,False
2015-06-05,0.0027955694389196,-0.06572795526305093,-0.08181369640751604,False,-0.055121526528824474,-0.09318414613785342,False,-0.05672087206783486,-0.1017956307139306,False
2015-06-06,0.0029607228982801,-0.06563004691899983,-0.08171139804271019,False,-0.054926488053831816,-0.09335937016655987,False,-0.05672087206783486,-0.1017956307139306,False
2015-06-07,-0.0122097686275606,-0.06556387659713889,-0.08164370375882744,False,-0.05478605569272695,-0.09343289645758975,False,-0.05672087206783486,-0.1017956307139306,False
2015-06-08,0.0248500802383332,-0.06513110066514513,-0.08114668114272733,False,-0.05429955881293573,-0.09302207541922707,False,-0.05602801447839886,-0.1016812601884523,False
2015-06-09,0.0024435445221696,-0.06507560670750474,-0.08110673220417129,False,-0.054237727786506394,-0.09241948767574801,False,-0.05602801447839886,-0.1016812601884523,False
2015-06-10,-0.0010702626160064,-0.06509884174893092,-0.08110798006102574,False,-0.054196863374094816,-0.09301840405485569,False,-0.05602801447839886,-0.1016812601884523,False
2015-06-11,0.0039345408686089,-0.06506518848356126,-0.08107340909995489,False,-0.05412381846856787,-0.09307630251728795,False,-0.05602801447839886,-0.1016812601884523,False
2015-06-12,0.0012051366936955,-0.06492718139292676,-0.08092701282151749,False,-0.053864043882332194,-0.0933958147513095,False,-0.05602801447839886,-0.1016812601884523,False
2015-06-13,0.0104675781704694,-0.06461447179788367,-0.08057879076982258,False,-0.05340906098654557,-0.09366308537565511,False,-0.05602801447839886,-0.1016812601884523,False
2015-06-14,0.004897611392575,-0.06357151565010451,-0.07937125257138053,False,-0.05244621182396857,-0.09153285859925149,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-15,0.0139468072330964,-0.06340160179295452,-0.07918905624323855,False,-0.05214518451273497,-0.09191853353566509,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-16,0.0577215234970317,-0.06340132703173944,-0.07917311467787609,False,-0.05206389596807848,-0.09226650645906254,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-17,-0.0064417468871615,-0.06351297865346128,-0.07935283519452314,False,-0.052471520054493216,-0.09291309887145302,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-18,-0.0011117713477906,-0.06351822703334413,-0.07930389873968723,False,-0.05229671145813066,-0.09319843779236582,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-19,-0.0178322594149286,-0.0635491945995973,-0.07930766941862061,False,-0.05224415847673683,-0.09399311064422809,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-20,0.0024744011398772,-0.06359963455771675,-0.0793625587418644,False,-0.052328892023379044,-0.09371003310583954,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-21,-0.0051844736853274,-0.06359818566771622,-0.07936118342177068,False,-0.05232595040979194,-0.09370349025951867,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-22,0.0124091804667882,-0.06361370362582891,-0.07933118618925811,False,-0.05218048237174912,-0.09418242228578386,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-23,-0.0109672458975932,-0.06361160397907219,-0.07930995075577656,False,-0.05207188283966284,-0.0946078357727678,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-24,-0.0155981711814412,-0.06369720377243855,-0.07937959686322384,False,-0.05217103960597858,-0.09525420985615474,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-25,0.0094514688355948,-0.0636989237542993,-0.07938147964781293,False,-0.05349718241924374,-0.10051617250343345,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-26,0.003268956971486,-0.06347162072805557,-0.07913765089518694,False,-0.05179613903389954,-0.09563636016707087,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-27,0.0299102386399443,-0.06347121284312952,-0.0791372723287059,False,-0.051795283562867736,-0.09563280090009849,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-28,-0.0079160409930225,-0.06347815571534528,-0.07915614567725633,False,-0.051880036409033534,-0.09549804317488093,False,-0.05559565223169158,-0.09913598147603532,False
2015-06-29,0.0318279844994252,-0.06349276873315564,-0.07917138555722872,False,-0.05190979416061788,-0.09540886991200541,False,-0.05559565223169158,-0.09913598147603532,False
