date,actual_return,normal_var,normal_cvar,normal_breach,student_t_var,student_t_cvar,student_t_breach,historical_var,historical_cvar,historical_breach
2022-03-20,-0.0420238384365927,-0.0966160110442414,-0.12223623075960155,False,-0.0977544421884895,-0.13411018107947656,False,-0.08827497085916151,-0.11071541888133024,False
2022-03-21,0.0016050064300526,-0.09694137074949954,-0.12258961343073228,False,-0.09812945967798772,-0.13424088810331553,False,-0.08827497085916151,-0.11071541888133024,False
2022-03-22,0.019588578974084,-0.09665331284327693,-0.12227254020501498,False,-0.09781190171829869,-0.13423691718186614,False,-0.08827497085916151,-0.11071541888133024,False
2022-03-23,0.0494640372636615,-0.09615406571811652,-0.12172428647424562,False,-0.09725946841826263,-0.13407551356995828,False,-0.08827497085916151,-0.11071541888133024,False
2022-03-24,0.0722062966753127,-0.09610906728699058,-0.12164559705279566,False,-0.09720545768670528,-0.13436386280771992,False,-0.08827497085916151,-0.11071541888133024,False
2022-03-25,-0.03550311146386,-0.09515883394360325,-0.12062231338556689,False,-0.09623913053141772,-0.1330609313273694,False,-0.08529405607934462,-0.11014025889996423,False
2022-03-26,0.0309978281671092,-0.09473259803443654,-0.12012861576853968,False,-0.09585789792685465,-0.13312597916058092,False,-0.08529405607934462,-0.11014025889996423,False
2022-03-27,0.0509574303087118,-0.09469440754488848,-0.12009861744044865,False,-0.09578495778457262,-0.13280067191630987,False,-0.08529405607934462,-0.11014025889996423,False
2022-03-28,-0.005796941234442,-0.09460747048671973,-0.12003982465254538,False,-0.0956187247575782,-0.13196365083927356,False,-0.08529405607934462,-0.11014025889996423,False
2022-03-29,0.0480903248007332,-0.09378540378092183,-0.119093880014812,False,-0.09485084808729809,-0.13186513338067085,False,-0.08327004736151324,-0.10964552133338314,False
2022-03-30,0.0773948482393925,-0.09341730145972597,-0.11872104343148909,False,-0.09437318347241277,-0.1311146642456802,False,-0.08327004736151324,-0.10964552133338314,False
2022-03-31,0.0161243423424422,-0.09311304992005555,-0.1182912847191517,False,-0.09391398449450966,-0.13028532859088707,False,-0.08327004736151324,-0.10964552133338314,False
2022-04-01,0.0916223902848697,-0.09315028842780126,-0.11831418745558436,False,-0.09398593575705998,-0.13070094580003794,False,-0.08327004736151324,-0.10964552133338314,False
2022-04-02,-0.0167432373225009,-0.09327083325068991,-0.11852860247217442,False,-0.09414047269142688,-0.13008912835876035,False,-0.08327004736151324,-0.10964552133338314,False
2022-04-03,0.0340322865865939,-0.09339174156010878,-0.1186566967392173,False,-0.09429460520964895,-0.13020079654032507,False,-0.08327004736151324,-0.10964552133338314,False
2022-04-04,-0.0324166317888659,-0.09319056672725297,-0.11845764956862369,False,-0.09401061135527136,-0.1296735766676292,False,-0.08327004736151324,-0.10964552133338314,False
2022-04-05,-0.0428212759448983,-0.09341924401468257,-0.11870681903670167,False,-0.09427638161861576,-0.12973285349159072,False,-0.08327004736151324,-0.10964552133338314,False
